"words","Outbreak","Emotional.Effect","Symptom","Hospital.Related","Immune.Reaction","Disease.Relations","Policy","Psychological.Problem","Analysis.of.Transmission","Cardiovascular.System","Protective.Equipment","Anosmia","Respiratory.System","Treatment","Diagnosis","Virus.Analysis","Virus.Defense.Mechanism","Literature.Analysis","Microbiome.","Immune.System"
"md",8.42e-08,0.00387597,0.000264926,0.00021337,2.16e-08,3.9e-08,1.51e-07,0.000321927,8.35e-08,6.75e-08,5.09e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000348875,8.7e-08,0.000313478,4.04e-08,0.00052837
"median",0.00379637,0.000195356,1.32e-07,0.00198795,0.0062592,3.9e-08,0.0051655,1.01e-07,0.000809858,0.00105983,0.000440326,4.77e-08,0.00456392,0.00336303,0.00180536,0.0152894,0.00133952,0.00056278,4.04e-08,9.2e-06
"medlin",8.42e-08,0.000146541,1.32e-07,0.00065944,0.000218164,0.000214664,1.51e-07,0.0163529,0.00159459,5.41e-05,0.000251628,2.39e-05,5.81e-08,8.85e-08,4.89e-08,0.00123827,0.000756777,0.00154574,0.000845276,9.11e-08
"medrxiv",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000174967,8.2e-05,0.000649596,0.00401288,0.000601153,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000424881,4.89e-08,0.000245165,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"member",0.000858667,0.000302748,1.32e-07,0.00442841,0.00290499,0.00134242,1.51e-07,1.01e-07,0.000434189,6.75e-08,0.00662843,0.000830001,0.000981347,0.000690376,0.00468213,5.66e-05,8.7e-08,0.00152437,0.00207471,0.00187639
"men",0.00114486,9.76e-08,1.32e-07,3.23e-08,0.00362853,0.000963902,0.000710009,0.000301813,8.35e-08,6.75e-08,0.000955502,0.000152683,0.000348445,8.85e-08,0.00300891,3.14e-08,3.49e-05,7.12e-08,4.04e-08,9.11e-08
"mental",8.42e-08,9.76e-08,1.32e-07,0.000594792,2.16e-08,3.9e-08,1.51e-07,0.00183049,0.00144432,6.75e-08,0.00770071,0.00135945,5.86e-06,8.85e-08,0.0163213,0.000886282,0.00113077,7.12e-08,0.00139933,9.11e-08
"mer",8.42e-08,0.0032121,0.000423803,3.23e-08,0.000686846,0.000495629,1.51e-07,0.00420396,0.000634546,6.75e-08,3e-08,4.77e-08,0.000168445,8.85e-08,0.000166392,0.000440014,0.000478454,7.12e-08,0.00963734,0.00337926
"mers-cov",8.42e-08,0.00261656,1.32e-07,3.23e-08,0.0010281,0.000440997,1.51e-07,0.000563297,0.000359056,6.82e-06,3e-08,4.77e-08,5.81e-08,0.000539929,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.00431519,0.00506428
"mesenchym",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.00224775,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000110027,0.00114817,7.12e-08,0.000206294,9.11e-08
"meta-analys",8.42e-08,9.76e-08,1.32e-07,0.000177814,0.000375831,3.9e-08,1.51e-07,0.00321837,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.94e-06,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000186073,9.11e-08
"meta-analysi",8.42e-08,9.76e-08,0.000450282,3.23e-08,0.000796997,7.81e-05,0.00342861,0.0163429,0.000843251,6.75e-08,0.000158776,4.77e-08,5.81e-08,8.85e-08,0.000215317,0.00321505,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"meteorolog",8.42e-08,9.76e-08,0.00010605,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00177102,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.2e-06
"mhc",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00168512
"microb",8.42e-08,9.76e-08,0.00234356,3.26e-06,2.16e-08,0.000253687,1.51e-07,1.01e-07,8.35e-08,6.75e-08,4.5e-05,4.77e-08,0.000168445,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00024225,4.04e-08,9.11e-08
"microbiom",8.42e-08,9.76e-08,0.00501798,3.23e-08,0.000118812,0.000366853,1.51e-07,0.000543183,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,7.09e-05,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"microbiota",8.42e-08,9.76e-08,0.00635519,3.23e-08,0.000185767,0.000589283,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000203635,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000295266,9.11e-08
"micronutri",8.42e-08,9.76e-08,0.00162862,3.23e-08,6.05e-05,4.69e-05,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"microorgan",0.000277861,9.76e-08,0.00378669,3.23e-08,2.16e-08,0.000530749,1.51e-07,0.000261585,8.35e-08,0.000135069,0.000182738,4.77e-08,5.81e-08,0.000300983,4.89e-08,3.14e-08,8.7e-08,0.0010685,7.28e-05,9.11e-08
"microvascular",8.42e-08,9.76e-08,3.99e-05,3.23e-08,2.16e-08,0.000218567,1.51e-07,1.01e-07,8.35e-08,0.00224784,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000311162,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"milk",8.42e-08,9.76e-08,0.000728316,3.23e-08,2.16e-08,4.3e-05,1.51e-07,0.00273563,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000336382,4.89e-08,9.75e-05,8.7e-08,7.12e-08,4.04e-08,0.000446396
"mmol",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000375831,3.9e-08,0.00223545,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000405444,0.000521942,7.12e-08,4.04e-08,9.11e-08
"morbid",8.42e-08,0.000732316,0.000834233,0.00243079,0.00107129,0.00402329,1.51e-07,0.00406316,0.00136919,0.00558238,0.00259987,0.000434104,0.000888444,0.000531079,0.00066053,0.00342247,0.00150477,0.000349093,0.00541925,0.00241378
"mother",0.000227356,9.76e-08,0.00010605,3.23e-08,2.16e-08,8.59e-05,1.51e-07,0.00728143,8.35e-08,6.75e-08,0.00100642,4.77e-08,5.81e-08,0.000274433,4.89e-08,0.000967993,8.7e-08,7.12e-08,0.000711818,9.11e-08
"mpro",8.42e-08,0.00712703,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000190117,0.000173148
"multidisciplinari",8.42e-08,9.76e-08,1.32e-07,0.00373991,0.000978422,3.9e-08,1.51e-07,1.01e-07,0.000283922,6.75e-08,0.0014587,0.000634437,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000426269,0.000427445,4.04e-08,9.11e-08
"multifoc",0.00346809,9.76e-08,1.32e-07,3.23e-08,9.07e-05,3.9e-08,1.51e-07,1.01e-07,0.000484279,0.000560324,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000418015,0.00056543,7.12e-08,4.04e-08,9.11e-08
"multiplex",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000136091,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00242494,4.89e-08,3.14e-08,8.7e-08,7.12e-08,5.26e-05,0.000337097
"multivari",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.00273386,1.01e-07,8.35e-08,6.08e-05,0.000290565,4.77e-08,0.000929089,8.85e-08,0.00342966,0.00917367,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"myocard",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000833714,0.000522945,1.51e-07,1.01e-07,8.35e-08,0.00555538,1.8e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000255122
"myocardi",8.42e-08,9.76e-08,1.32e-07,0.000187511,0.00026568,0.000538554,0.00117821,1.01e-07,8.35e-08,0.0146005,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00223766,0.000756777,7.12e-08,0.000477255,9.11e-08
"nanomateri",8.42e-08,9.76e-08,0.00211848,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,5.71e-05,0.000105189,9.11e-08
"nasopharyng",0.00355226,9.76e-08,1.32e-07,0.000733785,0.000781878,0.000238078,1.51e-07,0.00183049,0.00346458,0.000513073,3e-08,4.77e-08,5.81e-08,0.0207618,4.89e-08,0.0015494,0.00199183,0.000434568,0.000994911,9.11e-08
"neck",0.000404123,9.76e-08,1.32e-07,0.00341344,2.16e-08,0.000136619,1.51e-07,1.01e-07,0.00104361,6.75e-08,0.000176747,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000402301,8.7e-08,0.00261417,4.04e-08,9.11e-08
"neg",0.00553878,0.00057611,0.00153594,0.00213341,0.0112894,0.000281003,0.00140476,1.01e-07,0.0033644,0.000492823,0.00234827,0.00460772,0.00342005,0.0196733,0.00838082,3.14e-08,0.000269712,0.00177367,4.04e-08,0.00106576
"neonat",8.42e-08,9.86e-06,1.32e-07,3.23e-08,0.00167821,8.59e-05,1.51e-07,0.00644669,8.35e-08,6.75e-08,0.000239647,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000416592,0.00031888
"nerv",8.42e-08,9.76e-08,1.32e-07,0.000501053,2.16e-08,0.000444899,1.51e-07,1.01e-07,0.00325588,0.00023632,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000156775,4.04e-08,9.11e-08
"nervou",8.42e-08,9.76e-08,1.32e-07,0.000297412,2.16e-08,0.00105756,1.51e-07,1.01e-07,0.0118796,0.00110033,3e-08,4.77e-08,5.81e-08,8.85e-08,0.000132145,3.14e-08,8.7e-08,7.12e-08,0.00143573,0.000173148
"neuroinvas",8.42e-08,9.76e-08,1.32e-07,4.21e-05,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00325588,0.000351072,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000687552,3.65e-05
"neurologist",8.42e-08,9.76e-08,1.32e-07,0.000643278,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00308891,6.75e-08,2.7e-05,4.77e-08,5.81e-08,8.85e-08,0.000127253,0.000172882,8.7e-08,2.14e-05,0.000186073,9.11e-08
"neurosurg",8.42e-08,9.76e-08,1.32e-07,0.00157744,0.000136091,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,3.57e-05,4.04e-08,9.11e-08
"neurotrop",8.42e-08,9.76e-08,1.32e-07,9.73e-06,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00308057,0.000155319,3e-08,4.77e-08,5.81e-08,8.85e-08,4.94e-06,3.14e-08,8.7e-08,7.12e-08,0.000359973,0.00037353
"neutrophil",0.00101018,9.76e-08,0.000251687,3.23e-08,2.16e-08,0.00180679,0.0118563,1.01e-07,8.35e-08,0.00112733,3e-08,4.77e-08,5.81e-08,8.85e-08,0.000132145,0.00383102,0.000887241,7.12e-08,4.04e-08,9.11e-08
"neutrophil-to-lymphocyt",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000211684,3.9e-08,0.00344372,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000144597,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"newborn",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000922267,3.9e-08,1.51e-07,0.00413356,0.000133655,6.75e-08,0.000176747,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000161808,0.000282447
"news",8.42e-08,9.76e-08,1.32e-07,3.23e-08,1.73e-05,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000841684,0.00270932,0.000197477,8.85e-08,0.00244628,0.000125741,0.000174039,7.12e-08,0.000602624,9.11e-08
"nitrogen",8.42e-08,0.000263696,0.00178749,3.23e-08,2.16e-08,0.000136619,0.00238648,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00105683,8.85e-08,4.89e-08,0.000726003,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"nomogram",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.00013825,3.94e-06,0.00241669,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000414872,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"non-survivor",8.42e-08,9.76e-08,1.32e-07,3.23e-08,3.67e-05,3.9e-08,0.00259793,0.000130843,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.0011597,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"nucleic",0.00242432,0.00064445,0.00127114,3.23e-08,0.00345142,0.000101498,0.00141987,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.0113898,4.94e-06,3.14e-08,8.7e-08,7.12e-08,0.000554094,0.000501045
"nucleotid",8.42e-08,0.00146453,0.000569439,3.23e-08,2.16e-08,4.69e-05,1.51e-07,2.02e-05,8.35e-08,6.75e-08,3e-08,4.77e-08,4.65e-05,0.000610727,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.0046453
"nutrient",8.42e-08,9.76e-08,0.00394556,3.23e-08,2.16e-08,0.000550261,1.51e-07,1.01e-07,8.35e-08,6.75e-08,6.89e-05,2.39e-05,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000121366,9.11e-08
"obstetr",8.42e-08,9.76e-08,1.32e-07,0.000911567,0.00038663,9.76e-05,1.51e-07,0.00387208,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000194785,0.000185962,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"occlus",0.000151599,9.76e-08,1.32e-07,7.44e-05,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.00234234,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000311162,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"odd",8.42e-08,9.76e-08,1.32e-07,8.73e-05,2.16e-08,3.9e-08,0.000256908,0.00124718,8.35e-08,0.00018907,0.000503225,4.77e-08,5.81e-08,8.94e-06,0.00239246,0.00663748,0.000208829,7.12e-08,4.04e-08,9.11e-08
"older",0.00109436,9.76e-08,1.32e-07,0.000310342,0.00812312,0.00133462,0.00441033,1.01e-07,0.000868295,6.75e-08,0.00379496,0.000438873,0.000464574,8.85e-08,0.00511756,0.0032119,8.7e-08,7.12e-08,4.04e-08,0.000227798
"onset",0.00436876,9.76e-08,1.32e-07,0.000934194,2.16e-08,0.000316124,1.51e-07,1.01e-07,0.00514257,0.00161334,0.000452307,0.000171762,0.00225877,0.00649587,0.00118892,0.0070209,0.00322689,7.12e-08,0.00248317,0.000346205
"opac",0.0244024,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,0.000100671,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00465442,0.000182736,7.12e-08,0.000404459,9.11e-08
"opacif",0.00223913,9.76e-08,1.32e-07,9.73e-06,0.000183607,3.9e-08,0.000241805,0.000281699,0.00010861,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,5.97e-05,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"open-label",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000660928,3.9e-08,1.51e-07,1.01e-07,2.51e-05,6.75e-08,8.39e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.00228755,7.12e-08,4.04e-08,9.11e-08
"option",8.42e-08,0.00378811,0.00237004,0.00331323,0.00123112,0.00288382,1.51e-07,0.00102592,0.000409145,0.00228834,0.00268074,0.00240882,0.000151026,0.000690376,0.000386553,0.000738574,0.00676681,0.00183778,0.0045538,0.000883592
"oropharyng",8.42e-08,9.76e-08,1.32e-07,0.000151955,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00122727,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00331878,4.89e-08,0.000870568,0.000991612,7.12e-08,0.000448945,9.11e-08
"orthopaed",8.42e-08,9.76e-08,1.32e-07,0.00272494,0.000179287,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000182738,8.11e-05,2.91e-05,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000263618,4.04e-08,9.11e-08
"outbreak",0.00531993,0.00848407,0.00260835,0.00928023,0.0105896,0.00222824,0.0047275,0.00273563,0.00489212,0.0028621,0.0101298,0.00849514,0.0251942,0.00884993,0.017197,0.00459156,8.7e-08,0.00401738,0.0329561,0.0122689
"outpati",0.000639812,9.76e-08,1.32e-07,0.00799697,0.00163501,3.9e-08,1.51e-07,1.01e-07,0.00163633,6.75e-08,0.00115019,4.77e-08,5.81e-08,0.000513379,0.0011351,3.14e-08,0.00113947,0.0012537,4.04e-08,9.11e-08
"oxygen",0.00292937,0.000117253,0.00129762,0.000895405,0.00286611,0.00192386,0.00288489,0.000331984,8.35e-08,0.0068649,3e-08,0.000386405,5.81e-08,8.85e-08,4.89e-08,0.00597437,0.0119593,0.00373959,0.00122139,9.11e-08
"pacient",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.0015558,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"pao2",0.000673482,9.76e-08,1.32e-07,3.23e-08,0.000753801,3.9e-08,0.00214483,1.01e-07,8.35e-08,1.36e-05,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000179167,0.00197444,7.12e-08,4.04e-08,9.11e-08
"papain-lik",8.42e-08,0.00198197,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,6.38e-05
"parasit",8.43e-05,9.76e-08,0.00230384,3.23e-08,2.16e-08,0.000304417,0.000302218,1.01e-07,8.35e-08,6.75e-08,3e-08,0.000157453,5.81e-08,0.000274433,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000327989
"particul",8.42e-08,9.76e-08,0.0013241,3.23e-08,4.97e-05,0.000128814,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00117877,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00244322,4.04e-08,9.11e-08
"passeng",0.000134764,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,0.000629667,0.00274651,8.85e-08,4.89e-08,9.46e-06,0.000261015,0.000327724,4.04e-08,9.11e-08
"patchi",0.00559771,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.43e-06,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.0013954,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"pathophysiolog",8.42e-08,9.76e-08,1.32e-07,0.000248926,2.16e-08,0.00414036,1.51e-07,0.00117678,0.00335606,0.00672315,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000631721,0.000469757,7.12e-08,0.00298061,0.000692319
"patient",0.0404797,0.00562354,0.00526953,0.0547374,0.0538833,0.0257473,0.0369279,0.0199835,0.0430601,0.0455023,0.0182079,0.00376823,0.00603295,0.0348242,0.0167225,0.0363206,0.0291283,0.0228218,0.0309907,0.00647607
"pcr",0.00205395,9.76e-08,1.32e-07,0.000782271,2.16e-08,0.000218567,1.51e-07,1.01e-07,0.00306387,0.000702076,9.89e-05,4.77e-08,0.000336832,0.0128058,4.89e-08,0.00423643,0.00404446,7.12e-08,0.0016258,0.00191283
"pct",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.00524102,1.01e-07,8.35e-08,6.08e-05,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00109685,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"pdb",8.42e-08,0.00199173,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"percept",8.42e-08,9.76e-08,1.32e-07,0.000927729,4.32e-05,3.9e-08,1.51e-07,1.01e-07,0.000718028,0.000101319,0.00294432,0.00211309,0.000162639,8.85e-08,0.0085227,3.14e-08,8.7e-08,0.000926047,0.000238648,9.11e-08
"perinat",0.000143181,9.76e-08,1.32e-07,3.23e-08,0.000285119,0.000113205,1.51e-07,0.0051795,8.35e-08,6.75e-08,0.00042535,4.77e-08,5.81e-08,8.85e-08,2.45e-05,2.52e-05,0.000295805,7.12e-08,4.04e-08,9.11e-08
"peroxid",8.42e-08,9.76e-08,0.000794514,3.23e-08,2.16e-08,0.000109303,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00212982,0.000194161,9.11e-08
"personnel",8.42e-08,9.76e-08,0.000317885,0.00415689,0.00152702,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00135087,0.000601048,5.81e-08,0.00100012,0.000352306,3.14e-08,0.000791567,0.00414559,0.000416592,9.11e-08
"pharmacokinet",8.42e-08,0.00436412,0.000490001,3.23e-08,0.000222484,0.000374658,1.51e-07,1.01e-07,8.35e-08,0.000317321,3e-08,4.77e-08,0.000104574,8.85e-08,4.89e-08,3.14e-08,0.00195704,7.12e-08,4.04e-08,9.11e-08
"phosphatas",8.42e-08,9.76e-08,0.000291406,3.23e-08,2.16e-08,0.000171739,0.00231097,1.02e-05,8.35e-08,6.82e-06,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,9.43e-05,8.7e-08,7.12e-08,4.04e-08,7.3e-05
"phylogenet",8.42e-08,0.000488243,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.000125306,6.75e-08,3e-08,4.77e-08,0.000226509,0.000274433,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000837187,0.00642142
"physician",0.00100176,9.76e-08,1.32e-07,0.00497792,0.00360261,3.9e-08,0.000362632,1.01e-07,0.00240436,0.00123533,0.00325582,0.00102079,2.33e-05,8.85e-08,0.000949185,3.14e-08,0.0010438,0.000213758,4.04e-08,0.000327989
"physicochem",8.42e-08,0.00115212,0.00185369,5.5e-05,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,7.28e-05,9.11e-08
"phytochem",8.42e-08,0.00239201,0.00103283,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"placebo-control",8.42e-08,9.76e-08,0.000317885,3.23e-08,2.59e-05,0.000202958,1.51e-07,1.01e-07,8.35e-08,6.75e-08,6.29e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000198024,0.00273113,7.12e-08,4.04e-08,9.11e-08
"placenta",8.42e-08,9.76e-08,1.32e-07,6.5e-06,2.16e-08,0.000199055,1.51e-07,0.00173998,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000100599,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"pleural",0.010261,9.76e-08,1.32e-07,3.23e-08,0.000606932,3.9e-08,1.51e-07,0.000412441,0.000359056,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000311162,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"pm10",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,1.17e-05,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00152135,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"pocket",8.42e-08,0.0032902,1.32e-07,3.23e-08,0.000108013,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,0.000133603,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,9.98e-05,4.04e-08,9.11e-08
"pollut",8.42e-08,9.76e-08,0.00285991,3.23e-08,9.72e-05,0.000386365,1.51e-07,1.01e-07,8.35e-08,0.000121569,0.000314527,0.00135945,0.00594005,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000804958,4.04e-08,9.11e-08
"polym",8.42e-08,9.76e-08,0.00170805,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,1.68e-05,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000135406,4.04e-08,9.11e-08
"polyprotein",8.42e-08,0.0031047,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000683211
"porcin",8.42e-08,9.76e-08,0.00010605,3.23e-08,0.000114492,1.56e-05,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00012116,4.04e-08,0.00206767
"portfolio",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.000100262,6.75e-08,3e-08,0.00157887,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"posit",0.015,0.00142548,0.00154918,0.00694644,0.0172246,0.000956098,0.00438013,0.00259483,0.0133071,0.00444837,0.00553218,0.00576679,0.00830327,0.0370278,0.0104308,0.00465756,0.00528822,0.00503596,0.00234971,0.0069588
"postop",0.000622978,9.76e-08,1.32e-07,0.00376577,2.16e-08,3.9e-08,1.51e-07,0.000291756,0.000434189,3.38e-05,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00038973,8.7e-08,0.00034197,4.04e-08,9.11e-08
